"speaker","count","total","rate"
"S0548",4,6334,0.000631512472371329
"S0549",12,9841,0.00121938827354944
"S0550",0,3199,0
"S0551",1,5135,0.000194741966893866
"S0552",1,1213,0.000824402308326463
"S0553",1,2237,0.000447027268663388
"S0554",10,12000,0.000833333333333333
"S0555",35,35193,0.00099451595487739
"S0556",79,27148,0.00290997495211434
"S0557",14,6773,0.00206703085781781
"S0558",63,74981,0.000840212853922994
"S0559",4,3694,0.00108283703302653
"S0560",28,8816,0.00317604355716878
"S0561",28,21441,0.00130590923930787
"S0562",1,2567,0.000389559797428905
"S0563",4,6408,0.000624219725343321
"S0564",3,13410,0.000223713646532438
"S0565",8,5905,0.00135478408128704
"S0566",22,8065,0.00272783632982021
"S0567",14,9033,0.00154987268902912
"S0568",0,1252,0
"S0569",5,3219,0.00155327741534638
"S0570",12,14675,0.000817717206132879
"S0571",27,28656,0.000942211055276382
"S0572",11,11567,0.000950981239733725
"S0576",2,2339,0.000855066267635742
"S0578",3,2851,0.00105226236408278
"S0579",75,69102,0.00108535208821742
"S0580",5,7440,0.000672043010752688
"S0583",7,8832,0.000792572463768116
"S0584",10,12844,0.00077857365306758
"S0585",48,37108,0.00129352161259028
"S0586",3,4466,0.000671742051052396
"S0587",33,29768,0.00110857296425692
"S0588",133,74889,0.0017759617567333
"S0589",71,51706,0.00137314818396318
"S0590",434,52818,0.00821689575523496
"S0591",3,4908,0.000611246943765281
"S0592",65,32602,0.00199374271517085
"S0593",33,7632,0.00432389937106918
"S0594",36,15197,0.00236888859643351
"S0595",13,6570,0.00197869101978691
"S0596",19,11092,0.00171294626758024
"S0597",16,15218,0.00105138651596793
"S0598",53,24986,0.00212118786520451
"S0599",3,6779,0.000442543147956926
"S0600",5,3318,0.00150693188667872
"S0601",3,2906,0.00103234686854783
"S0602",28,16807,0.00166597251145356
"S0603",22,25704,0.000855897914721444
"S0604",17,23612,0.000719972895138065
"S0605",30,16319,0.0018383479379864
"S0606",0,934,0
"S0607",67,26372,0.00254057333535568
"S0608",2,1277,0.00156617071260767
"S0609",5,1738,0.00287686996547756
"S0610",7,7960,0.000879396984924623
"S0611",2,7246,0.000276014352746343
"S0612",17,10599,0.00160392489857534
"S0613",38,11535,0.00329432162982228
"S0614",7,10338,0.000677113561617334
"S0615",14,27629,0.000506713959969597
"S0616",17,12863,0.00132162015082018
